Watching for file changes with StatReloader
Performing system checks...

System check identified no issues (0 silenced).
December 25, 2025 - 21:16:53
Django version 6.0, using settings 'ems_project.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
For more information on production servers see: https://docs.djangoproject.com/en/6.0/howto/deployment/
[25/Dec/2025 21:17:23] "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[25/Dec/2025 21:17:24] "POST /api/auth/login/ HTTP/1.1" 200 231
[25/Dec/2025 21:17:24] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[25/Dec/2025 21:17:24] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[25/Dec/2025 21:17:24] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[25/Dec/2025 21:17:24] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[25/Dec/2025 21:17:24] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[25/Dec/2025 21:17:24] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[25/Dec/2025 21:17:24] "GET /api/departments/ HTTP/1.1" 200 568
[25/Dec/2025 21:17:24] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:17:24] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:17:24] "GET /api/departments/ HTTP/1.1" 200 568
[25/Dec/2025 21:17:24] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:17:24] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:17:25] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:17:25] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:18:17] "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[25/Dec/2025 21:18:18] "POST /api/auth/login/ HTTP/1.1" 200 231
[25/Dec/2025 21:18:19] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[25/Dec/2025 21:18:19] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[25/Dec/2025 21:18:19] "OPTIONS /api/departments/ HTTP/1.1" 200 0
[25/Dec/2025 21:18:19] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[25/Dec/2025 21:18:19] "OPTIONS /api/employees/ HTTP/1.1" 200 0
[25/Dec/2025 21:18:19] "OPTIONS /api/companies/ HTTP/1.1" 200 0
[25/Dec/2025 21:18:19] "GET /api/departments/ HTTP/1.1" 200 568
[25/Dec/2025 21:18:19] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:18:19] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:18:19] "GET /api/departments/ HTTP/1.1" 200 568
[25/Dec/2025 21:18:19] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:18:19] "GET /api/companies/ HTTP/1.1" 200 850
[25/Dec/2025 21:18:19] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:18:19] "GET /api/employees/ HTTP/1.1" 200 361
[25/Dec/2025 21:24:50] "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[25/Dec/2025 21:24:51] "POST /api/auth/login/ HTTP/1.1" 200 231
